"start","end","radiations"
1595617200,1595620800,1.075
1595620800,1595624400,0
1595624400,1595628000,0
1595628000,1595631600,0
1595631600,1595635200,0
1595635200,1595638800,0
1595638800,1595642400,0
1595642400,1595646000,0
1595646000,1595649600,0
1595649600,1595653200,20.64
1595653200,1595656800,173.505
1595656800,1595660400,373.24
1595660400,1595664000,562.87
1595664000,1595667600,718.1
1595667600,1595671200,826.675
1595671200,1595674800,912.675
1595674800,1595678400,1004.91
1595678400,1595682000,934.175
1595682000,1595685600,831.835
1595685600,1595689200,724.98
1595689200,1595692800,578.995
1595692800,1595696400,410.865
1595696400,1595700000,161.25
1595700000,1595703600,66.005
1595703600,1595707200,0.86
1595707200,1595710800,0
1595710800,1595714400,0
1595714400,1595718000,0
1595718000,1595721600,0
1595721600,1595725200,0
1595725200,1595728800,0
1595728800,1595732400,0
1595732400,1595736000,0
1595736000,1595739600,24.94
1595739600,1595743200,149.64
1595743200,1595746800,257.57
1595746800,1595750400,416.67
1595750400,1595754000,657.9
1595754000,1595757600,817.86
1595757600,1595761200,860.43
1595761200,1595764800,901.71
1595764800,1595768400,872.255
1595768400,1595772000,750.78
1595772000,1595775600,676.605
1595775600,1595779200,562.01
1595779200,1595782800,381.41
1595782800,1595786400,184.47
1595786400,1595790000,66.435
1595790000,1595793600,0.86
1595793600,1595797200,0
1595797200,1595800800,0
1595800800,1595804400,0
1595804400,1595808000,0
1595808000,1595811600,0
1595811600,1595815200,0
1595815200,1595818800,0
1595818800,1595822400,0
1595822400,1595826000,27.52
1595826000,1595829600,172.645
1595829600,1595833200,341.85
1595833200,1595836800,528.685
1595836800,1595840400,689.505
1595840400,1595844000,805.175
1595844000,1595847600,882.575
1595847600,1595851200,993.515
1595851200,1595854800,913.535
1595854800,1595858400,809.26
1595858400,1595862000,718.745
1595862000,1595865600,565.665
1595865600,1595869200,397.32
1595869200,1595872800,191.135
1595872800,1595876400,62.565
1595876400,1595880000,0.86
1595880000,1595883600,0
1595883600,1595887200,0
1595887200,1595890800,0
1595890800,1595894400,0
1595894400,1595898000,0
1595898000,1595901600,0
1595901600,1595905200,0
1595905200,1595908800,0
1595908800,1595912400,28.81
1595912400,1595916000,158.455
1595916000,1595919600,342.925
1595919600,1595923200,531.695
1595923200,1595926800,671.445
1595926800,1595930400,808.615
1595930400,1595934000,878.275
1595934000,1595937600,999.105
1595937600,1595941200,913.75
1595941200,1595944800,808.615
1595944800,1595948400,693.375
1595948400,1595952000,561.58
1595952000,1595955600,400.975
1595955600,1595959200,165.765
1595959200,1595962800,50.74
1595962800,1595966400,0.43
1595966400,1595970000,0
1595970000,1595973600,0
1595973600,1595977200,0
1595977200,1595980800,0
1595980800,1595984400,0
1595984400,1595988000,0
1595988000,1595991600,0
1595991600,1595995200,0
1595995200,1595998800,19.565
1595998800,1596002400,133.73
1596002400,1596006000,299.495
1596006000,1596009600,490.2
1596009600,1596013200,662.845
1596013200,1596016800,777.87
1596016800,1596020400,876.34
1596020400,1596024000,966.64
1596024000,1596027600,890.1
1596027600,1596031200,793.78
1596031200,1596034800,699.61
1596034800,1596038400,541.155
1596038400,1596042000,362.49
1596042000,1596045600,152.22
1596045600,1596049200,44.505
1596049200,1596052800,0.43
1596052800,1596056400,0
1596056400,1596060000,0
1596060000,1596063600,0
1596063600,1596067200,0
1596067200,1596070800,0
1596070800,1596074400,0
1596074400,1596078000,0
1596078000,1596081600,0
1596081600,1596085200,18.92
1596085200,1596088800,141.255
1596088800,1596092400,307.02
1596092400,1596096000,492.995
1596096000,1596099600,652.525
1596099600,1596103200,760.67
1596103200,1596106800,844.735
1596106800,1596110400,945.355
1596110400,1596114000,874.405
1596114000,1596117600,800.875
1596117600,1596121200,681.55
1596121200,1596124800,523.955
1596124800,1596128400,349.375
1596128400,1596132000,151.79
1596132000,1596135600,40.635
1596135600,1596139200,0.43
1596139200,1596142800,0
1596142800,1596146400,0
1596146400,1596150000,0
1596150000,1596153600,0
1596153600,1596157200,0
1596157200,1596160800,0
1596160800,1596164400,0
1596164400,1596168000,0
1596168000,1596171600,16.34
1596171600,1596175200,95.245
1596175200,1596178800,240.8
1596178800,1596182400,466.98
1596182400,1596186000,637.69
1596186000,1596189600,758.735
1596189600,1596193200,836.995
1596193200,1596196800,927.94
1596196800,1596200400,875.91
1596200400,1596204000,634.68
1596204000,1596207600,445.05
1596207600,1596211200,173.935
1596211200,1596214800,149.425
1596214800,1596218400,86.645
1596218400,1596222000,40.635
1596222000,1596225600,0.215
1596225600,1596229200,0
1596229200,1596232800,0
1596232800,1596236400,0
1596236400,1596240000,0
1596240000,1596243600,0
1596243600,1596247200,0
1596247200,1596250800,0
1596250800,1596254400,0
1596254400,1596258000,16.77
1596258000,1596261600,130.29
1596261600,1596265200,296.485
1596265200,1596268800,500.52
1596268800,1596272400,663.92
1596272400,1596276000,774
1596276000,1596279600,866.235
1596279600,1596283200,961.695
1596283200,1596286800,882.575
1596286800,1596290400,797.65
1596290400,1596294000,695.525
1596294000,1596297600,556.635
1596297600,1596301200,349.805
1596301200,1596304800,143.835
1596304800,1596308400,32.465
1596308400,1596312000,0.215
1596312000,1596315600,0
1596315600,1596319200,0
1596319200,1596322800,0
1596322800,1596326400,0
1596326400,1596330000,0
1596330000,1596333600,0
1596333600,1596337200,0
1596337200,1596340800,0
1596340800,1596344400,5.375
1596344400,1596348000,45.58
1596348000,1596351600,139.965
1596351600,1596355200,453.005
1596355200,1596358800,695.095
1596358800,1596362400,783.675
1596362400,1596366000,856.345
1596366000,1596369600,935.035
1596369600,1596373200,876.77
1596373200,1596376800,788.62
1596376800,1596380400,705.63
1596380400,1596384000,383.99
1596384000,1596387600,181.03
1596387600,1596391200,136.525
1596391200,1596394800,33.97
1596394800,1596398400,0.215
1596398400,1596402000,0
1596402000,1596405600,0
1596405600,1596409200,0
1596409200,1596412800,0
1596412800,1596416400,0
1596416400,1596420000,0
1596420000,1596423600,0
1596423600,1596427200,0
1596427200,1596430800,2.795
1596430800,1596434400,62.565
1596434400,1596438000,282.08
1596438000,1596441600,480.31
1596441600,1596445200,603.29
1596445200,1596448800,418.605
1596448800,1596452400,222.525
1596452400,1596456000,416.67
1596456000,1596459600,320.995
1596459600,1596463200,366.79
1596463200,1596466800,282.08
1596466800,1596470400,385.065
1596470400,1596474000,169.205
1596474000,1596477600,220.375
1596477600,1596481200,62.78
1596481200,1596484800,0.215
1596484800,1596488400,0
1596488400,1596492000,0
1596492000,1596495600,0
1596495600,1596499200,0
1596499200,1596502800,0
1596502800,1596506400,0
1596506400,1596510000,0
1596510000,1596513600,0
1596513600,1596517200,18.275
1596517200,1596520800,132.87
1596520800,1596524400,219.515
1596524400,1596528000,270.255
1596528000,1596531600,61.49
1596531600,1596535200,26.015
1596535200,1596538800,32.68
1596538800,1596542400,150.715
1596542400,1596546000,315.19
1596546000,1596549600,640.485
1596549600,1596553200,540.94
1596553200,1596556800,363.35
1596556800,1596560400,283.8
1596560400,1596564000,99.975
1596564000,1596567600,25.155
1596567600,1596571200,0
1596571200,1596574800,0
1596574800,1596578400,0
1596578400,1596582000,0
1596582000,1596585600,0
1596585600,1596589200,0
1596589200,1596592800,0
1596592800,1596596400,0
1596596400,1596600000,0
1596600000,1596603600,12.255
1596603600,1596607200,146.63
1596607200,1596610800,139.105
1596610800,1596614400,241.445
1596614400,1596618000,223.17
1596618000,1596621600,510.84
1596621600,1596625200,763.465
1596625200,1596628800,916.76
1596628800,1596632400,858.71
1596632400,1596636000,666.93
1596636000,1596639600,710.145
1596639600,1596643200,394.74
1596643200,1596646800,320.995
1596646800,1596650400,189.415
1596650400,1596654000,55.255
1596654000,1596657600,0
1596657600,1596661200,0
1596661200,1596664800,0
1596664800,1596668400,0
1596668400,1596672000,0
1596672000,1596675600,0
1596675600,1596679200,0
1596679200,1596682800,0
1596682800,1596686400,0
1596686400,1596690000,2.15
1596690000,1596693600,14.835
1596693600,1596697200,107.5
1596697200,1596700800,291.325
1596700800,1596704400,607.805
1596704400,1596708000,812.485
